Fecha,flujo,tarea_detalle,Usuario,Tareas realizadas
31 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,55
31 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,51
31 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,30
31 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,45
31 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,56
31 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,62
31 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,56
31 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,44
31 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,39
31 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,63
31 ene 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,51
31 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,52
31 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,38
31 ene 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,46
3 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,63
3 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,41
3 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,36
3 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,21
3 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,49
3 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,53
3 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,44
3 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,54
3 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,56
3 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,64
3 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,51
3 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,57
3 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,63
3 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,39
3 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,39
3 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,41
4 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,57
4 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,38
4 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,36
4 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_flmonten,56
4 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,37
4 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_yaportas,49
4 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,43
